

1.66338851584426,0.391264650428567
1.98105520180308,1.66527913402587
-3.21867545599662,-3.71985600279827
4.99080394761361,-3.28878933643568
-4.67399179469472,0.611997927096601
3.81866500451810,1.69175304534394
-3.09566732820046,-1.31083453936105
-0.392740627395884,4.81637950970750
-3.43595047773437,3.55522805845911
1.44764536870088,-1.23727789721168
-3.09076304763697,-0.717470070206140
-0.179779389681437,-3.79388386702838
0.895074846950590,-2.73812320247324
-1.15380875630589,0.829863827476739
-2.48193877527687,-2.09559335723021
1.17090884393223,-2.34719090189971
3.24376266688835,4.82663399721950
2.30248792267598,-1.56122995885017
0.840693332784520,-3.92230984756257
4.06308150649733,3.79653724481905

1,1,1,1,1
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
0,1,0,0,0
1,1,1,1,1
0,0,0,0,0
1,1,1,1,1
0,1,0,0,1
1,1,1,1,1
0,0,0,0,0
1,0,1,0,0
1,0,1,1,1
1,1,1,0,1
0,0,0,0,0
1,0,1,1,1
1,1,1,1,1
1,1,1,1,1
1,0,1,1,0
1,1,1,1,1
